"rank","name","pop2021","pop2010","growth","density","aland_sqmi"
"459","Onalaska","544","621","-0.1240","341","1.5930"
"460","St. John","543","543","0","809","0.6710"
"461","Ashford","531","217","1.4470","262","2.0270"
"462","Wishram","529","342","0.5468","413","1.2820"
"463","Malone","524","475","0.1032","58","9.0410"
"464","George","520","504","0.0317","378","1.3770"
"465","Wilkeson","516","481","0.0728","1110","0.4650"
"466","East Cathlamet","512","491","0.0428","299","1.7100"
"467","Winthrop","510","405","0.2593","547","0.9330"
"468","Ryderwood","503","395","0.2734","3124","0.1610"
"469","Mesa","500","498","0.0040","302","1.6570"
"470","Clallam Bay","497","363","0.3691","880","0.5650"
"471","Rockford","496","473","0.0486","747","0.6640"
"472","Four Lakes","490","512","-0.0430","145","3.3750"
"474","Sprague","484","445","0.0876","460","1.0520"
"473","Ione","484","443","0.0926","911","0.5310"
"475","Lyman","473","439","0.0774","705","0.6710"
"476","Nespelem","472","232","1.0345","2433","0.1940"
"477","Lyle","464","499","-0.0701","657","0.7060"
"478","Touchet","449","421","0.0665","370","1.2150"
"479","Colton","446","431","0.0348","723","0.6170"
"480","South Prairie","441","426","0.0352","1151","0.3830"
"482","Oakesdale","437","422","0.0355","421","1.0390"
"481","North Omak","437","688","-0.3648","39","11.1980"
"483","Raft Island","434","459","-0.0545","1567","0.2770"
"484","Hunts Point","433","397","0.0907","1410","0.3070"
"485","Keyport","430","554","-0.2238","850","0.5060"
